tconst,director,id,popularity
tt7975244,Jake Kasdan,512200,5.961
tt1979376,Josh Cooley,301528,4.949
tt1979376,Josh Cooley,301528,4.949
tt8613070,Céline Sciamma,531428,2.221
tt7083526,Roxann Dawson,514439,9.374
tt7083526,Roxann Dawson,514439,9.374
tt7533152,Chiwetel Ejiofor,491480,33.31
tt7533152,Chiwetel Ejiofor,491480,33.31
tt7547410,James Bobin,499701,2.177
tt4916630,Destin Daniel Cretton,522212,5.12
tt7549996,Rupert Goold,491283,1.822
tt5886046,Adam Robitel,522681,2.596
tt5865326,Steven Soderbergh,517909,9.573
tt5932728,Farhad Safinia,411728,3.888
tt9071322,Todd Haynes,552178,2.646
tt6513120,Stephen Merchant,445629,8.721
tt7374948,Nahnatchka Khan,513576,5.228
tt7374948,Nahnatchka Khan,513576,5.228
tt4729430,Sergio Pablos,508965,4.151
tt4777008,Joachim Rønning,420809,1.579
tt4777008,Joachim Rønning,420809,1.579
tt6535880,Scott Beck,517116,3.966
tt6535880,Bryan Woods,517116,8.089
tt6141246,Tom Harper,514921,1.09
tt2527338,J.J. Abrams,181812,13.132
tt9806192,Jérémy Clapin,586940,1.267
tt9806192,Jérémy Clapin,586940,1.267
tt6146586,Chad Stahelski,458156,12.919
tt6139732,Guy Ritchie,420817,23.576
tt7458762,Antonin Baudry,484468,0.574
tt6189022,Ric Roman Waugh,423204,6.309
tt6079516,Adam Randall,524251,0.001
tt6292852,Grant Sputore,505948,0.993
tt6324278,Jill Culton,431580,0.685
tt4154664,Anna Boden,299537,3.116
tt4154664,Ryan Fleck,299537,1.721
tt6320628,Jon Watts,429617,9.323
tt4154796,Anthony Russo,299534,25.07
tt4154796,Joe Russo,299534,10.891
tt6095472,Thurop Van Orman,454640,3.293
tt6105098,Jon Favreau,420818,22.274
tt6105098,Jon Favreau,420818,22.274
tt6394270,Jay Roach,525661,3.062
tt6398184,Michael Engler,535544,2.661
tt6398184,Michael Engler,535544,2.661
tt5503686,Lorene Scafaria,540901,2.621
tt0448115,David F. Sandberg,287947,2.145
tt0448115,David F. Sandberg,287947,2.145
tt1302006,Martin Scorsese,398978,21.467
tt1206885,Adrian Grunberg,522938,2.217
tt3513548,Clint Eastwood,292011,43.992
tt5606664,Mike Flanagan,501170,3.578
tt5606664,Mike Flanagan,501170,3.578
tt5116302,Ericson Core,606856,1.2
tt3224458,Marielle Heller,501907,3.675
tt3224458,Marielle Heller,501907,3.675
tt4139588,Jonas Åkerlund,483906,0.803
tt5814534,Nick Bruno,431693,4.003
tt5814534,Troy Quane,431693,4.238
tt5113040,Chris Renaud,412117,7.596
tt5113040,Jonathan del Val,412117,2.233
tt5113040,Chris Renaud,412117,7.596
tt5113040,Jonathan del Val,412117,2.233
tt5719748,Hans Petter Moland,438650,4.446
tt2066051,Dexter Fletcher,504608,13.483
tt4463894,Tim Story,486131,2.12
tt6857112,Jordan Peele,458723,14.949
tt5727208,Benny Safdie,473033,8.178
tt5727208,Josh Safdie,473033,2.345
tt6556670,Philippe de Chauveron,505436,2.765
tt6806448,David Leitch,384018,8.142
tt0385887,Edward Norton,504562,23.805
tt4429160,Hong Sung-ho,486589,0.788
tt4429160,Hong Sung-ho,486589,0.788
tt0800325,Jeff Tremaine,327331,3.152
tt0800325,Jeff Tremaine,327331,3.152
tt6823368,M. Night Shyamalan,450465,17.441
tt5363618,Darius Marder,502033,1.382
tt5363618,Darius Marder,502033,1.382
tt4520988,Chris Buck,330457,2.471
tt4520988,Jennifer Lee,330457,9.284
tt6924650,Roland Emmerich,522162,5.425
tt6902676,Jason Howden,457335,0.652
tt10199590,Ladj Ly,586863,1.723
tt4364194,Tyler Nilson,463257,1.003
tt4364194,Michael Schwartz,463257,3.444
tt4364194,Tyler Nilson,463257,1.003
tt4364194,Michael Schwartz,463257,3.444
tt1860242,John Lee Hancock,500682,4.201
tt1318517,Terry Gilliam,297725,7.052
tt6628394,Drew Goddard,446021,5.116
tt6628394,Drew Goddard,446021,5.116
tt5083738,Yorgos Lanthimos,375262,16.767
tt5083738,Yorgos Lanthimos,375262,16.767
tt3289724,Robert Zemeckis,351044,25.563
tt6644200,John Krasinski,447332,27.163
tt7476116,Gilles Lellouche,484482,7.01
tt8001346,Alexandre Astier,527729,3.332
tt8001346,Louis Clichy,527729,2.155
tt8001346,Alexandre Astier,527729,3.332
tt8001346,Louis Clichy,527729,2.155
tt3385524,Jon S. Baird,394741,2.063
tt6865690,Wayne Roberts,467956,0.509
tt5463162,David Leitch,383498,8.142
tt4500922,Wes Ball,336843,6.255
tt5461944,Anthony Maras,416144,1.008
tt5461944,Anthony Maras,416144,1.008
tt2798920,Alex Garland,300668,15.869
tt2854926,Jeff Tomsic,455980,1.292
tt5164432,Greg Berlanti,449176,4.373
tt5164214,Gary Ross,402900,7.801
tt6820256,Joe Penna,453755,2.211
tt5397194,Andrew Niccol,396806,4.924
tt5397194,Andrew Niccol,396806,4.924
tt5834262,Drew Pearce,406761,2.195
tt5834262,Drew Pearce,406761,2.195
tt2709692,Yarrow Cheney,360920,1.727
tt2709692,Scott Mosier,360920,3.268
tt2704998,John Francis Daley,445571,12.787
tt2704998,Jonathan Goldstein,445571,2.752
tt3104988,Jon M. Chu,455207,10.308
tt6850820,Pierre Morel,458594,3.242
tt6850820,Pierre Morel,458594,3.242
tt5848272,Phil Johnston,404368,1.446
tt5848272,Rich Moore,404368,4.683
tt5848272,Phil Johnston,404368,1.446
tt5848272,Rich Moore,404368,4.683
tt4103724,Bethany Ashton Wolf,417261,1.663
tt1677720,Steven Spielberg,333339,32.198
tt2837574,David Lowery,429203,5.529
tt1213641,Damien Chazelle,369972,7.685
